Student_ID,Aptitude_Score,Technical_Score,Coding_Score,Selected
S001,71,46,67,0
S002,63,59,70,0
S003,73,60,77,1
S004,83,54,77,1
S005,62,62,43,0
S006,62,69,49,0
S007,84,89,69,1
S008,74,66,69,1
S009,59,67,69,1
S010,72,63,95,1
S011,59,39,70,0
S012,59,64,78,1
S013,68,65,75,1
S014,42,95,71,1
S015,44,61,58,1
S016,58,68,73,1
S017,53,64,51,0
S018,69,49,59,0
S019,54,79,55,1
S020,48,74,63,0
S021,83,74,94,1
S022,62,52,36,0
S023,66,82,72,1
S024,48,46,39,0
S025,58,72,55,0
S026,66,92,77,1
S027,51,51,63,1
S028,70,57,47,1
S029,58,65,52,0
S030,61,57,72,1
S031,58,44,52,0
S032,87,65,65,1
S033,65,50,63,0
S034,52,70,53,0
S035,75,52,92,1
S036,50,84,71,1
S037,68,54,34,0
S038,41,60,65,0
S039,49,75,53,0
S040,67,48,74,0
S041,74,67,51,0
S042,67,81,60,1
S043,64,43,69,0
S044,61,66,74,1
S045,47,67,45,0
S046,56,74,57,1
S047,59,48,55,0
S048,78,47,53,0
S049,69,71,87,1
S050,44,68,68,0
S051,69,67,44,0
S052,60,69,75,1
S053,57,55,92,1
S054,72,67,76,1
S055,77,68,41,0
S056,76,55,55,0
S057,55,88,80,1
S058,61,70,52,0
S059,69,49,68,1
S060,77,73,73,1
S061,59,51,49,0
S062,63,74,61,1
S063,52,79,30,0
S064,51,53,48,0
S065,75,77,58,1
S066,81,69,45,0
S067,64,75,85,1
S068,77,89,42,1
S069,69,61,56,0
S070,57,54,64,0
S071,69,52,82,1
S072,83,53,42,1
S073,65,63,78,1
S074,84,68,62,1
S075,35,68,48,1
S076,75,75,68,1
S077,66,64,65,1
S078,61,83,54,1
S079,66,61,63,1
S080,41,95,57,0
S081,62,72,64,0
S082,69,53,71,0
S083,83,50,84,0
S084,59,70,45,0
S085,55,61,92,1
S086,59,73,35,0
S087,76,70,60,1
S088,69,63,70,1
S089,59,53,66,1
S090,71,44,53,0
S091,66,58,59,0
S092,77,75,55,1
S093,57,67,54,0
S094,61,48,74,1
S095,60,66,67,1
S096,47,69,52,0
S097,69,53,75,0
S098,68,66,66,1
S099,65,65,73,1
S100,62,49,71,1
